run sample x y z
01 00001 +0015.600 -0195.000 +0889.200
01 00002 +0007.800 -0234.000 +0865.800
01 00003 +0000.000 -0202.800 +0881.400
01 00004 +0007.800 -0226.200 +0897.000
01 00005 +0015.600 -0234.000 +0881.400
01 00006 +0007.800 -0226.200 +0881.400
01 00007 +0015.600 -0241.800 +0889.200
01 00008 +0000.000 -0218.400 +0904.800
01 00009 +0000.000 -0202.800 +0912.600
01 00010 +0023.400 -0226.200 +0920.400
01 00011 +0023.400 -0249.600 +0897.000
01 00012 +0015.600 -0234.000 +0912.600
01 00013 +0007.800 -0226.200 +0904.800
01 00014 +0015.600 -0249.600 +0889.200
01 00015 +0023.400 -0226.200 +0912.600
01 00016 +0007.800 -0226.200 +0904.800
01 00017 +0015.600 -0234.000 +0881.400
01 00018 +0007.800 -0234.000 +0897.000
01 00019 +0007.800 -0226.200 +0873.600
01 00020 +0000.000 -0218.400 +0889.200
01 00021 +0015.600 -0218.400 +0858.000
01 00022 +0007.800 -0226.200 +0873.600
01 00023 +0007.800 -0218.400 +0873.600
01 00024 +0007.800 -0218.400 +0865.800
01 00025 +0000.000 -0218.400 +0881.400
01 00026 +0007.800 -0187.200 +0663.000
01 00027 +0000.000 -0241.800 +0842.400
01 00028 +0015.600 -0241.800 +0881.400
01 00029 +0023.400 -0234.000 +0873.600
01 00030 +0007.800 -0210.600 +0858.000
01 00031 +0000.000 -0226.200 +0881.400
01 00032 +0031.200 -0234.000 +0834.600
01 00033 +0015.600 -0218.400 +0889.200
01 00034 +0015.600 -0226.200 +0897.000
01 00035 +0000.000 -0218.400 +0881.400
01 00036 +0015.600 -0241.800 +0889.200
01 00037 +0007.800 -0218.400 +0912.600
01 00038 +0023.400 -0226.200 +0881.400
01 00039 +0000.000 -0241.800 +0920.400
01 00040 +0007.800 -0234.000 +0897.000
01 00041 +0007.800 -0234.000 +0904.800
01 00042 +0000.000 -0210.600 +0865.800
01 00043 +0007.800 -0226.200 +0881.400
01 00044 +0007.800 -0226.200 +0889.200
01 00045 +0000.000 -0226.200 +0850.200
01 00046 +0023.400 -0234.000 +0881.400
01 00047 +0000.000 -0234.000 +0873.600
01 00048 +0015.600 -0226.200 +0881.400
01 00049 +0000.000 -0210.600 +0881.400
01 00050 -0031.200 -0093.600 +0709.800
01 00051 -0023.400 -0226.200 +0850.200
01 00052 +0023.400 -0249.600 +0881.400
01 00053 +0000.000 -0226.200 +0873.600
01 00054 +0000.000 -0234.000 +0873.600
01 00055 +0007.800 -0241.800 +0858.000
01 00056 +0007.800 -0234.000 +0881.400
01 00057 +0000.000 -0218.400 +0881.400
01 00058 +0000.000 -0226.200 +0873.600
01 00059 +0023.400 -0226.200 +0881.400
01 00060 +0007.800 -0234.000 +0865.800
01 00061 +0015.600 -0218.400 +0889.200
01 00062 +0000.000 -0210.600 +0865.800
01 00063 +0007.800 -0226.200 +0881.400
01 00064 +0023.400 -0226.200 +0873.600
01 00065 +0015.600 -0226.200 +0881.400
01 00066 +0015.600 -0226.200 +0865.800
01 00067 +0015.600 -0234.000 +0897.000
01 00068 +0000.000 -0226.200 +0865.800
01 00069 +0023.400 -0218.400 +0873.600
01 00070 +0023.400 -0234.000 +0865.800
01 00071 +0007.800 -0226.200 +0881.400
01 00072 +0015.600 -0226.200 +0865.800
01 00073 +0023.400 -0234.000 +0858.000
01 00074 +0000.000 -0109.200 +0678.600
